X,P1,P2,P3,P4,P5
8.258529999999999518e+02,2.379182617187500000e+03,2.649676025390625000e+03,3.369954589843750000e+03,3.793568847656250000e+03,1.839400634765625000e+03
8.294916849999999613e+02,2.422720703125000000e+03,2.637490722656250000e+03,3.375385742187500000e+03,3.693915039062500000e+03,1.792278320312500000e+03
8.331303699999999708e+02,2.383865234375000000e+03,2.648965087890625000e+03,3.381152343750000000e+03,3.610140136718750000e+03,1.811407592773437500e+03
8.367690549999999803e+02,2.477212402343750000e+03,2.695752929687500000e+03,3.383198730468750000e+03,3.755895019531250000e+03,1.807902587890625000e+03
8.404077399999999898e+02,2.492786621093750000e+03,2.684654296875000000e+03,3.409425292968750000e+03,3.678358154296875000e+03,1.726035034179687500e+03
8.440464240000000018e+02,2.525182128906250000e+03,2.650177001953125000e+03,3.361130859375000000e+03,3.726188964843750000e+03,1.791538696289062500e+03
8.476851090000000113e+02,2.642714355468750000e+03,2.785778808593750000e+03,3.370007324218750000e+03,3.884637451171875000e+03,1.858682128906250000e+03
8.513237940000000208e+02,2.642892089843750000e+03,2.840789550781250000e+03,3.488090576171875000e+03,3.811985351562500000e+03,1.923225219726562500e+03
8.549624790000000303e+02,2.574196044921875000e+03,2.816242919921875000e+03,3.467104736328125000e+03,3.723523681640625000e+03,1.753173339843750000e+03
8.586011630000000423e+02,2.652428710937500000e+03,2.866058837890625000e+03,3.372995361328125000e+03,3.803444824218750000e+03,1.816981323242187500e+03
8.622398480000000518e+02,2.727385742187500000e+03,2.718470703125000000e+03,3.438483398437500000e+03,3.733281494140625000e+03,1.877114624023437500e+03
8.658785329999999476e+02,2.734732177734375000e+03,2.923421630859375000e+03,3.480773193359375000e+03,3.777507080078125000e+03,1.869177734375000000e+03
8.695172179999999571e+02,2.706784912109375000e+03,2.877767578125000000e+03,3.456696044921875000e+03,3.833594238281250000e+03,1.850610229492187500e+03
8.731559019999999691e+02,2.783545898437500000e+03,2.764085205078125000e+03,3.449104248046875000e+03,3.771394531250000000e+03,1.805977783203125000e+03
8.767945869999999786e+02,2.775207519531250000e+03,2.744637207031250000e+03,3.389905273437500000e+03,3.769966796875000000e+03,1.718140747070312500e+03
8.804332719999999881e+02,2.687852783203125000e+03,2.823498291015625000e+03,3.467162597656250000e+03,3.808520996093750000e+03,1.831527587890625000e+03
8.840719569999999976e+02,2.774920898437500000e+03,2.900830322265625000e+03,3.456392578125000000e+03,3.849676269531250000e+03,1.794121337890625000e+03
8.877106410000000096e+02,2.684717773437500000e+03,2.727127441406250000e+03,3.393422851562500000e+03,3.846957519531250000e+03,1.754390991210937500e+03
8.913493260000000191e+02,2.802312011718750000e+03,2.887237792968750000e+03,3.450190917968750000e+03,3.894283447265625000e+03,1.827225708007812500e+03
8.949880110000000286e+02,2.796224609375000000e+03,3.053008789062500000e+03,3.531157470703125000e+03,3.890706542968750000e+03,1.803120239257812500e+03
